City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Joshimath,0,IN,1539356326,89,30.57,79.57,16.2,0.69
Tessalit,0,ML,1539356327,17,20.2,1.01,97.11,8.97
Port Lincoln,0,AU,1539356327,85,-34.72,135.86,61.66,15.68
Cherskiy,68,RU,1539356327,100,68.75,161.3,21.15,3.38
Faanui,92,PF,1539356328,100,-16.48,-151.75,76.86,22.73
Ponta do Sol,68,BR,1539356328,72,-20.63,-46.0,77.31,10.65
Castro,20,CL,1539356328,76,-42.48,-73.76,51.49,3.6
Rocha,100,UY,1539356329,100,-34.48,-54.34,53.01,10.09
Ambon,0,FR,1539354600,60,47.55,-2.56,73.4,12.75
Theunissen,92,ZA,1539356329,23,-28.4,26.71,80.29,10.87
Talnakh,88,RU,1539356330,90,69.49,88.39,34.83,23.06
Tayirove,0,UA,1539352800,49,46.36,30.65,68.0,11.18
Bulawayo,0,ZW,1539356330,13,-20.16,28.59,88.2,11.43
Luderitz,44,NA,1539352800,52,-26.65,15.16,69.8,28.86
Chilca,40,PE,1539354600,51,-13.22,-72.34,59.0,3.36
High Level,40,CA,1539352800,79,58.52,-117.13,28.4,11.41
Terrace,40,CA,1539352800,81,54.52,-128.61,46.4,14.99
Bang Saphan,56,TH,1539356332,95,11.21,99.51,78.48,2.37
Hithadhoo,0,MV,1539356332,100,-0.6,73.08,84.79,2.71
Acajutla,40,SV,1539352200,83,13.59,-89.83,80.6,4.7
Victoria,75,BN,1539354600,83,5.28,115.24,84.2,2.24
Grindavik,75,IS,1539352800,75,63.84,-22.43,46.4,18.34
Shuiji,0,CN,1539356334,70,27.42,118.34,57.87,2.59
Buckeye,90,US,1539355080,72,33.37,-112.58,69.8,4.7
San Isidro,44,PH,1539356335,95,16.74,121.63,72.55,2.37
Gazli,0,UZ,1539356336,41,40.13,63.45,58.41,9.75
Shingu,64,JP,1539356336,100,33.72,135.99,64.71,9.08
Poum,40,MK,1539354600,48,41.28,20.71,66.2,4.7
Tias,20,ES,1539354600,78,28.96,-13.65,77.0,11.41
Bluff,92,AU,1539356337,99,-23.58,149.07,63.91,5.39
Aktau,0,KZ,1539352800,43,43.65,51.16,51.8,15.66
Vinh,100,VN,1539356186,98,18.67,105.69,72.0,3.49
Iracoubo,8,GF,1539356337,70,5.48,-53.21,86.58,5.73
Kenai,90,US,1539352560,85,60.55,-151.26,46.04,10.09
Katobu,12,ID,1539356338,92,-4.94,122.53,80.1,5.73
Arica,75,CL,1539353160,68,-18.48,-70.32,68.0,10.29
Port Elizabeth,90,US,1539352560,62,39.31,-74.98,60.98,13.87
Jamestown,64,AU,1539356101,66,-33.21,138.6,58.95,11.77
Moranbah,32,AU,1539356340,98,-22.0,148.04,62.91,5.28
Weiser,1,US,1539352380,15,44.25,-116.97,33.98,2.48
Alice Springs,90,AU,1539354600,82,-23.7,133.88,64.4,13.87
Suntar,68,RU,1539356340,88,62.16,117.65,31.15,5.28
Ilhabela,88,BR,1539356340,100,-23.78,-45.36,72.64,14.79
Gamboma,88,CG,1539356341,94,-1.87,15.88,73.71,4.72
Baracoa,0,CU,1539356341,100,20.35,-74.5,81.81,3.71
Constitucion,5,MX,1539351660,76,23.99,-104.67,50.0,3.36
Husavik,0,CA,1539356341,100,50.56,-96.99,28.71,8.75
Deputatskiy,0,RU,1539356342,48,69.3,139.9,-3.51,2.71
Yenotayevka,0,RU,1539356342,60,47.24,47.04,49.24,11.99
Mackay,90,CA,1539354540,81,53.65,-115.58,42.8,17.22
Kirkwall,20,GB,1539354000,87,58.98,-2.96,57.2,23.04
Imbituba,75,BR,1539352800,68,-28.24,-48.67,71.6,14.99
Dunedin,24,NZ,1539356228,81,-45.87,170.5,36.27,11.65
Qaanaaq,76,GL,1539356343,100,77.48,-69.36,17.65,12.55
Olean,90,US,1539354060,100,42.08,-78.43,44.06,3.36
Villa Carlos Paz,20,AR,1539352800,71,-31.42,-64.5,55.4,6.93
Boyolangu,80,ID,1539356344,73,-8.09,111.9,75.06,6.96
Labuhan,56,ID,1539356344,98,-2.54,115.51,72.1,0.92
Bermejo,92,AR,1539356344,83,-22.73,-64.34,62.29,3.15
Shushtar,76,IR,1539356345,22,32.05,48.86,90.19,5.61
Carnarvon,36,ZA,1539356345,8,-30.97,22.13,75.43,5.39
Bullhead City,1,US,1539354900,56,35.15,-114.57,69.98,6.93
Moron,40,VE,1539352800,69,10.49,-68.2,82.4,3.49
Qidong,12,CN,1539356346,100,31.81,121.66,58.06,5.84
Mashhad,40,IR,1539354600,39,36.3,59.61,62.6,20.8
Durban,0,FR,1539354600,42,43.54,0.58,80.6,5.82
Ribeira Grande,40,PT,1539354600,60,38.52,-28.7,69.8,24.16
San Andres,44,PH,1539356347,100,13.32,122.68,83.7,14.0
Tulum,75,MX,1539351600,83,20.21,-87.46,82.4,5.82
Berezovyy,0,RU,1539356319,61,51.67,135.7,25.11,3.04
Loiza,75,PR,1539355500,74,18.43,-65.88,84.2,5.82
Vrangel,0,RU,1539356348,100,42.73,133.08,56.16,6.06
Margate,20,AU,1539354600,87,-43.03,147.26,46.4,2.24
Princeton,75,US,1539354900,77,41.37,-89.46,39.38,6.93
Fukue,75,JP,1539352800,59,35.03,136.69,64.4,19.46
Birjand,0,IR,1539352800,15,32.86,59.22,71.6,11.41
Serenje,32,ZM,1539356350,24,-13.23,30.22,84.06,6.62
Longfeng,75,CN,1539352800,93,31.05,103.87,60.8,4.47
Dikson,92,RU,1539356350,100,73.51,80.55,33.75,26.08
Wencheng,0,CN,1539356351,90,27.79,120.09,50.31,2.15
Umm Kaddadah,0,SD,1539356351,10,13.6,26.69,95.58,10.87
Altay,0,CN,1539356351,69,47.83,88.13,22.86,2.59
Kieta,80,PG,1539356352,98,-6.22,155.63,78.75,3.38
Benavente,20,PT,1539354600,57,38.98,-8.82,77.0,13.87
Vidim,0,CZ,1539354600,40,50.47,14.53,71.6,3.36
Kuopio,0,FI,1539354000,81,62.89,27.68,51.8,6.93
Barcelona,20,ES,1539354600,78,41.38,2.18,77.0,9.17
Havre-Saint-Pierre,90,CA,1539354360,93,50.23,-63.6,37.4,14.99
Saint-Pierre,0,FR,1539354600,53,48.95,4.24,78.8,11.41
Morant Bay,20,JM,1539352800,70,17.88,-76.41,86.0,13.87
Shenjiamen,80,CN,1539356354,92,29.96,122.3,67.95,10.42
Nioro,0,GM,1539356354,71,13.79,-15.05,94.95,4.61
Beyneu,0,KZ,1539356354,40,45.32,55.19,47.26,13.0
Kudahuvadhoo,76,MV,1539356355,100,2.67,72.89,83.44,3.94
Leh,76,IN,1539356355,45,34.16,77.58,13.86,1.36
Vestmannaeyjar,64,IS,1539356355,87,63.44,-20.27,47.26,14.9
Ustupo,56,PA,1539356355,91,9.13,-77.93,77.14,8.3
Naze,75,NG,1539352800,94,5.43,7.07,77.0,7.29
Chuy,92,UY,1539356356,100,-33.69,-53.46,56.7,21.27
Ust-Omchug,76,RU,1539356357,66,61.13,149.63,10.35,2.59
Tuatapere,76,NZ,1539356357,100,-46.13,167.69,42.76,11.65
Severo-Kurilsk,92,RU,1539356357,100,50.68,156.12,45.45,12.21
Mount Isa,0,AU,1539354600,30,-20.73,139.49,69.8,9.64
Geraldton,90,CA,1539352800,86,49.72,-86.95,26.6,6.93
Tuban,24,ID,1539356358,75,-6.9,112.07,79.56,3.38
Kodiak,90,US,1539355980,92,39.95,-94.76,42.98,9.17
Olinda,90,EC,1539352800,78,-2.03,-79.75,73.4,6.93
Tainan,75,TW,1539353040,83,22.99,120.21,77.0,6.93
Ranong,48,TH,1539356360,100,9.96,98.62,77.85,3.49
Belfast,92,GB,1539354000,93,54.6,-5.93,55.4,13.87
Berlevag,20,NO,1539352200,86,70.86,29.09,37.4,6.93
Sola,75,NO,1539354000,82,58.89,5.65,59.0,26.4
Lucapa,56,AO,1539356361,73,-8.42,20.74,79.83,5.73
Wewak,76,PG,1539356361,93,-3.55,143.63,77.41,3.38
Vawkavysk,0,BY,1539352800,59,53.15,24.45,64.4,6.71
Codrington,100,AU,1539356362,99,-28.95,153.24,57.51,3.6
Grand Gaube,40,MU,1539352800,64,-20.01,57.66,75.2,12.75
Tanda,8,IN,1539356363,67,31.67,75.63,69.94,6.4
Bilibino,56,RU,1539356363,68,68.06,166.44,13.24,2.15
Amarante do Maranhao,24,BR,1539356363,63,-5.57,-46.74,90.91,3.94
Kenora,90,CA,1539354900,79,49.76,-94.48,26.6,6.93
Bud,0,NO,1539354000,63,62.91,6.91,66.2,6.93
Honiara,75,SB,1539352800,100,-9.43,159.96,75.2,2.24
Tabas,0,IR,1539352800,17,33.6,56.92,82.4,2.24
Bambous Virieux,40,MU,1539352800,64,-20.34,57.76,75.2,12.75
Green River,0,US,1539356365,70,41.53,-109.47,21.79,5.28
Qaqortoq,75,GL,1539355800,58,60.72,-46.03,30.2,1.12
Airai,0,TL,1539356365,85,-8.93,125.41,63.0,1.36
Henties Bay,0,NA,1539356366,83,-22.12,14.28,65.25,9.64
Stromness,75,CA,1539355260,66,42.87,-79.55,48.2,13.87
Rosetown,80,CA,1539356366,85,51.55,-107.99,34.56,10.2
Sao Filipe,48,CV,1539356366,84,14.9,-24.5,83.44,11.99
Atar,48,MR,1539356367,15,20.52,-13.05,103.5,4.94
Dicabisagan,92,PH,1539356367,100,17.08,122.42,78.31,3.71
Nogales,90,US,1539355080,96,31.34,-110.94,57.2,4.7
Holden,90,US,1539356160,83,42.35,-71.86,57.92,10.29
Freetown,75,BS,1539354840,94,26.61,-78.36,77.0,6.93
Nemuro,0,JP,1539356303,100,43.32,145.57,56.25,22.06
Djambala,80,CG,1539356369,93,-2.55,14.76,74.52,4.61
Sidhi,20,IN,1539356369,70,24.41,81.88,78.85,9.31
Chakradharpur,92,IN,1539356369,98,22.67,85.62,70.39,6.51
Salinopolis,44,BR,1539356370,88,-0.61,-47.36,83.89,15.01
Mogadishu,40,SO,1539352800,74,2.04,45.34,82.4,14.99
Fairbanks,1,US,1539354720,86,64.84,-147.72,26.6,7.74
Luganville,24,VU,1539356370,99,-15.51,167.18,79.47,11.1
Xianyang,64,CN,1539352800,72,34.31,108.72,59.0,4.47
Provideniya,8,RU,1539356371,100,64.42,-173.23,44.01,22.73
Cidreira,32,BR,1539356371,74,-30.17,-50.22,74.89,17.25
Upernavik,0,GL,1539356371,100,72.79,-56.15,23.13,4.72
San Juan,0,AR,1539356141,48,-31.54,-68.53,68.31,4.61
Turukhansk,92,RU,1539356371,90,65.8,87.96,39.15,22.84
Russell,20,AR,1539352800,41,-33.01,-68.8,60.8,3.36
Tezu,88,IN,1539356372,99,27.93,96.16,57.96,1.25
Hami,8,CN,1539356372,53,42.84,93.51,43.2,1.7
Ewa Beach,20,US,1539352620,84,21.32,-158.01,75.92,4.7
Lakes Entrance,0,AU,1539356373,84,-37.88,147.99,55.54,9.98
Ouahigouya,0,BF,1539356373,50,13.58,-2.42,95.58,4.61
Dondo,0,MZ,1539356374,66,-19.62,34.74,81.91,13.89
Lannion,90,FR,1539354600,64,48.73,-3.46,71.6,26.4
Lake Wales,5,US,1539355500,65,27.9,-81.59,82.4,5.82
Nyurba,88,RU,1539356374,76,63.29,118.35,32.22,6.17
Kuching,75,MY,1539354600,88,1.56,110.34,77.0,5.82
Wanxian,88,CN,1539356375,43,30.8,108.39,56.61,3.94
Tiksi,88,RU,1539356375,97,71.64,128.87,18.81,3.15
Celestun,8,MX,1539356376,100,20.87,-90.4,82.18,8.75
Rawson,0,AR,1539356376,33,-43.3,-65.11,64.44,13.89
Mahebourg,40,MU,1539352800,64,-20.41,57.7,75.2,12.75
Calawag,64,PH,1539356376,93,10.67,119.57,82.81,6.73
Lakatoro,76,VU,1539356377,98,-16.11,167.42,75.51,7.63
Glendive,24,US,1539356377,93,47.11,-104.71,27.0,13.0
Strezhevoy,0,RU,1539352800,100,60.73,77.6,33.8,4.47
Shache,20,CN,1539356378,60,38.42,77.24,49.51,2.71
Cabo San Lucas,5,MX,1539351900,78,22.89,-109.91,77.0,6.93
Lokosovo,88,RU,1539356378,95,61.13,74.84,33.85,7.85
Kizukuri,92,JP,1539356379,100,40.81,140.39,56.35,9.08
Bemidji,1,US,1539354900,92,47.48,-94.89,23.0,5.82
Klaksvik,76,FO,1539354000,87,62.23,-6.59,51.8,20.8
Jawhar,80,IN,1539356379,48,19.91,73.23,87.31,3.38
Batan,20,ID,1539356380,82,-7.54,110.71,71.91,2.71
Demyansk,0,RU,1539356380,87,57.64,32.46,54.27,11.43
Menongue,48,AO,1539356380,14,-14.66,17.68,89.1,3.27
Itagiba,0,BR,1539352800,68,-29.52,-50.57,69.8,11.41
Bonfim,12,GY,1539356381,48,3.36,-59.84,93.25,10.76
Luwuk,36,ID,1539356381,100,-0.95,122.79,76.95,2.93
Sur,0,OM,1539356382,99,22.57,59.53,80.01,4.38
Sechura,92,PE,1539356382,83,-5.56,-80.82,67.23,10.65
Zhigansk,68,RU,1539356382,96,66.77,123.37,29.25,6.96
Antalaha,80,MG,1539356382,98,-14.9,50.28,71.73,8.63
Nanortalik,92,GL,1539356383,95,60.14,-45.24,33.94,8.19
Yekimovichi,0,RU,1539356383,78,54.11,33.29,53.1,5.17
Sujiatun,8,CN,1539356383,62,45.81,127.11,47.88,9.42
Pingliang,56,CN,1539356383,69,35.54,106.68,50.22,6.06
Guacimo,75,CO,1539352800,83,8.09,-76.36,80.6,11.41
Taunggyi,68,MM,1539356384,93,20.78,97.03,64.71,2.71
Zhezkazgan,75,KZ,1539352800,86,47.8,67.71,41.0,11.18
Bethel,90,US,1539352380,96,60.79,-161.76,42.98,16.11
Gonda,0,IN,1539356111,59,27.13,81.96,79.75,6.73
Sitka,92,US,1539356386,100,37.17,-99.65,51.66,9.42
Sungairaya,36,ID,1539356386,98,0.7,108.9,76.06,5.17
Katsuura,20,JP,1539356386,97,33.93,134.5,58.69,7.63
Rome,20,IT,1539354000,44,41.89,12.48,78.8,3.36
Price,1,US,1539352380,85,39.6,-110.81,37.04,10.29
Chilmari,68,BD,1539356387,93,25.59,89.66,72.91,5.73
Bubaque,75,GW,1539352800,62,11.28,-15.83,89.6,4.7
Pisco,90,PE,1539352800,30,-13.71,-76.2,71.6,6.93
Bandundu,88,CD,1539356388,89,-3.32,17.38,77.58,9.98
Cerrito,75,CO,1539352800,100,6.84,-72.7,68.0,3.36
Evensk,92,RU,1539356389,100,61.92,159.24,38.52,10.98
Chumikan,0,RU,1539356389,71,54.72,135.31,44.2,11.1
Tarboro,1,US,1539356160,58,35.9,-77.54,66.56,9.17
Arman,0,RU,1539352800,69,59.7,150.17,39.2,2.24
Dawei,20,MM,1539356390,92,14.07,98.19,73.26,1.7
Beringovskiy,92,RU,1539356390,100,63.05,179.32,41.31,19.04
Letterkenny,20,IE,1539354000,71,54.95,-7.73,57.2,24.16
Leua,8,AO,1539356391,39,-11.65,20.45,85.41,3.38
Colquechaca,12,BO,1539356391,77,-18.7,-66.0,56.97,2.04
Inverness,40,GB,1539354000,67,57.48,-4.23,62.6,19.46
Tazovskiy,88,RU,1539356391,98,67.47,78.7,32.4,4.38
Takahagi,75,JP,1539352800,72,36.74,140.69,59.0,5.82
Coihaique,75,CL,1539352800,61,-45.58,-72.07,48.2,5.82
Esmeraldas,75,BR,1539352800,57,-19.76,-44.31,78.8,6.93
Lucera,20,IT,1539352500,56,41.51,15.34,75.2,16.11
Almeirim,20,PT,1539354600,57,39.21,-8.63,77.0,13.87
Khasan,0,RU,1539356393,100,42.43,130.64,49.15,7.07
Sosua,40,DO,1539352800,70,19.77,-70.52,84.2,9.17
Kosa,88,RU,1539356393,67,59.94,54.99,35.46,14.12
Slave Lake,90,CA,1539354000,93,55.28,-114.77,39.2,5.82
Zabid,36,YE,1539356394,20,14.2,44.5,67.95,4.94
Yumen,0,CN,1539356394,67,40.29,97.04,35.91,4.94
Iguape,92,BR,1539356395,98,-24.7,-47.56,72.45,11.99
Bara,0,NG,1539356395,23,10.41,10.6,99.19,11.65
Jiujiang,8,CN,1539356396,85,29.73,115.99,55.81,8.3
Gat,0,SN,1539356396,45,14.69,-16.54,98.65,4.05
Oistins,20,BB,1539352800,74,13.07,-59.53,86.0,12.75
Mattru,44,SL,1539356396,91,7.62,-11.83,84.43,3.83
Hualmay,44,PE,1539356397,71,-11.1,-77.61,68.14,5.06
Wukari,12,NG,1539356397,67,7.87,9.78,88.93,6.51
Sawtell,90,AU,1539354600,68,-30.38,153.1,64.4,12.75
Jay,90,US,1539353700,95,44.95,-72.44,51.98,6.93
Biak,36,ID,1539356398,100,-0.91,122.88,76.95,2.93
Sar-e Pul,0,AF,1539356398,75,36.22,65.93,38.44,1.14
Florianopolis,75,BR,1539352800,68,-27.6,-48.55,71.6,14.99
Baykit,12,RU,1539356399,75,61.68,96.39,31.32,7.96
Saiha,88,IN,1539356399,98,22.49,92.98,66.06,1.59
Alenquer,20,BR,1539352800,62,-1.95,-54.74,87.8,19.46
Sobolevo,0,RU,1539356400,83,54.43,31.9,53.01,6.06
Inuvik,90,CA,1539352800,86,68.36,-133.71,28.4,5.82
Margherita,92,IN,1539356400,98,27.29,95.67,65.7,1.81
Taree,75,AU,1539352800,87,-31.91,152.46,57.2,3.36
Wuan,12,CN,1539356402,64,31.68,112.0,53.73,7.96
Funadhoo,56,MV,1539356469,100,6.15,73.27,83.25,1.59
Cabedelo,75,BR,1539352800,58,-6.97,-34.84,84.2,13.87
Horodnytsya,0,UA,1539356473,59,50.81,27.32,59.31,8.97
Beni,44,CD,1539356409,95,0.49,29.47,71.01,4.05
Bulgan,76,MN,1539356410,89,48.81,103.53,32.4,2.48
Saint-Augustin,0,FR,1539354600,45,44.83,-0.61,82.4,12.75
Nantucket,90,US,1539355020,96,41.28,-70.1,59.0,9.17
Belaya Gora,92,RU,1539356476,94,68.54,146.19,19.62,3.04
Zharkent,0,KZ,1539356477,85,44.17,80.0,32.05,2.04
Tilichiki,0,RU,1539356413,83,60.47,166.1,23.13,2.93
Maple Creek,48,CA,1539356482,77,49.91,-109.46,35.2,10.42
Kalabo,0,ZM,1539356482,13,-15.0,22.67,94.86,4.61
Carutapera,36,BR,1539356483,70,-1.2,-46.02,85.77,12.1
Lima,8,PE,1539356130,61,-12.06,-77.04,66.96,3.15
Huarmey,8,PE,1539356419,56,-10.07,-78.15,70.47,4.05
Alofi,75,NU,1539352800,100,-19.06,-169.92,73.4,5.82
Tual,36,ID,1539356485,100,-5.67,132.75,81.0,7.4
Atasu,92,KZ,1539356421,96,48.68,71.64,43.83,19.6
Binzhou,32,CN,1539356421,48,37.38,117.96,47.44,9.31
Nuuk,20,GL,1539352200,62,64.17,-51.74,24.8,28.86
Trinidad,90,UY,1539352800,93,-33.52,-56.9,51.8,10.29
Trelew,0,AR,1539356425,33,-43.25,-65.31,64.44,13.89
Pella,40,US,1539354900,92,41.41,-92.92,37.4,4.61
San Quintin,8,PH,1539356426,84,17.54,120.52,72.0,3.15
Mingshui,68,CN,1539356491,70,22.81,109.89,66.96,4.83
Lucea,20,JM,1539352800,66,18.44,-78.17,84.2,6.93
Kavaratti,92,IN,1539356427,100,10.57,72.64,83.89,9.98
Alexandria,1,US,1539354900,73,31.31,-92.44,63.32,5.82
Moosburg,0,DE,1539355800,41,48.09,9.6,77.0,6.93
Beira,75,ES,1539354600,77,43.2,-8.36,69.8,21.92
Meulaboh,92,ID,1539356429,100,4.14,96.13,74.61,2.15
Ozernovskiy,88,RU,1539356430,100,51.5,156.52,43.92,13.67
La Asuncion,40,EC,1539352800,67,-1.64,-78.74,62.6,1.03
Sergeyevka,88,KZ,1539356262,83,53.88,67.42,36.0,8.97
Namatanai,24,PG,1539356430,100,-3.66,152.44,80.91,7.4
Kamariotissa,40,GR,1539354000,46,40.48,25.47,69.8,18.34
Wiarton,75,CA,1539352800,86,44.74,-81.13,41.0,10.29
Merauke,8,ID,1539356436,90,-8.49,140.4,78.57,14.0
